CRATER_ID,lat,lon,diam_km,source,match_dist_km,flagged_low_confidence_match,original_area,original_degree,corrected_area,corrected_degree,final_area,final_degree,reviewed,agrees,flag_bad_match,note
04-1-062582,29.4097,308.971,1.00711,additional_hebrew_list,0.3449799301424036,False,mare,v-fr,mare,v-fr,mare,v-fr,True,False,True,
04-1-064290,30.0012,288.138,1.40812,additional_hebrew_list,0.2590796610554136,False,mare,v-fr,mare,v-fr,mare,v-fr,True,False,True,
04-1-066543,31.2212,352.671,1.66364,additional_hebrew_list,0.3809698327918393,False,mare,r-fr,,,mare,r-fr,True,True,False,
04-1-066922,31.5794,339.5,1.34036,additional_hebrew_list,0.2721881969708506,False,mare,v-fr,mare,r-fr,mare,r-fr,True,False,False,
04-1-067837,31.352,296.465,2.81323,additional_hebrew_list,0.2273986770972091,False,mare,v-fr,mare,r-fr,mare,r-fr,True,False,False,
04-1-069391,32.4865,289.879,1.85697,additional_hebrew_list,0.2780163574562697,False,mare,r-fr,,,mare,r-fr,True,True,False,
04-1-070392,32.6258,334.95,3.96764,additional_hebrew_list,0.158868070369621,False,mare,r-fr,mare,r-fr,mare,r-fr,True,True,False,
04-1-070397,32.4222,335.534,3.53207,additional_hebrew_list,0.2377069076215468,False,mare,r-fr,,,mare,r-fr,True,True,False,
04-1-071034,32.3644,356.925,1.14737,additional_hebrew_list,0.3454816755098698,False,mare,v-fr,mare,r-fr,mare,r-fr,True,False,True,
04-1-072134,34.0879,338.469,1.39051,additional_hebrew_list,0.1756262801477978,False,mare,v-fr,mare,r-fr,mare,r-fr,True,False,False,
04-1-073038,34.3831,288.715,2.23888,additional_hebrew_list,0.2676449726319438,False,mare,v-fr,mare,r-fr,mare,r-fr,True,False,False,
04-1-075069,34.7224,307.652,1.10456,additional_hebrew_list,0.2398383279240916,False,mare,v-fr,mare,v-fr,mare,v-fr,True,False,True,
04-1-075736,35.0907,337.104,3.56372,additional_hebrew_list,0.1552227833429144,False,mare,r-fr,,,mare,r-fr,True,True,False,
04-1-075813,34.2932,342.751,1.4124,additional_hebrew_list,8.570348158979735,True,mare,v-fr,mare,r-dr,mare,r-dr,True,False,False,
04-1-076870,35.7792,343.489,1.27592,additional_hebrew_list,0.0914335966797893,False,mare,r-fr,,,mare,r-fr,True,True,False,
04-1-076980,35.4134,330.009,1.79935,additional_hebrew_list,0.0836939066112307,False,mare,v-fr,mare,r-fr,mare,r-fr,True,False,False,
04-1-077091,36.2659,322.017,4.42557,additional_hebrew_list,0.1587472425636911,False,mare,v-fr,mare,v-fr,mare,v-fr,True,False,True,
04-1-079514,36.5945,339.163,2.39467,additional_hebrew_list,0.0642387357590388,False,mare,v-fr,mare,r-fr,mare,r-fr,True,False,False,
04-1-079523,36.5134,340.849,1.20553,additional_hebrew_list,0.1254539643417927,False,mare,v-fr,mare,r-fr,mare,r-fr,True,False,False,
04-1-079697,36.5126,353.07,3.19127,additional_hebrew_list,0.1771104900138028,False,mare,v-fr,,,mare,v-fr,True,True,False,
04-1-080232,37.708,356.948,1.23194,additional_hebrew_list,3.10500427698696,True,mare,v-fr,mare,r-dr,mare,r-dr,True,False,False,
04-1-080298,37.9965,353.954,4.13097,additional_hebrew_list,0.3195944232358087,False,mare,r-fr,,,mare,r-fr,True,True,False,
04-1-080437,38.2436,345.209,1.01867,additional_hebrew_list,0.1176246611496212,False,mare,r-fr,,,mare,r-fr,True,True,False,
04-1-080460,37.8172,345.712,3.28628,additional_hebrew_list,0.1104354629972422,False,mare,r-fr,,,mare,r-fr,True,True,False,
04-1-080495,38.1669,342.676,4.21596,additional_hebrew_list,0.1376052386980802,False,mare,r-fr,,,mare,r-fr,True,True,False,
04-1-082559,38.7036,290.982,1.9454,additional_hebrew_list,0.126729775491,False,mare,v-fr,mare,r-fr,mare,r-fr,True,False,False,
04-1-083308,39.3821,346.018,3.12921,additional_hebrew_list,0.191328008072821,False,mare,r-fr,,,mare,r-fr,True,True,False,
04-1-083722,40.0239,342.066,1.00014,additional_hebrew_list,0.0955802824037617,False,mare,v-fr,mare,r-dr,mare,r-dr,True,False,True,
04-1-083792,40.072,333.74,1.24028,additional_hebrew_list,0.1190421877635274,False,mare,v-fr,mare,r-fr,mare,r-fr,True,False,False,
04-1-084307,39.6922,293.901,1.26476,additional_hebrew_list,10.369988337405282,True,mare,v-fr,mare,r-fr,mare,r-fr,True,False,False,
04-1-086106,42.2609,340.235,2.27426,additional_hebrew_list,0.1768889842493518,False,mare,v-fr,mare,r-fr,mare,r-fr,True,False,False,
04-1-089053,44.9691,288.514,1.56678,additional_hebrew_list,0.0770640361927021,False,mare,r-fr,,,mare,r-fr,True,True,False,
04-1-091060,46.2503,338.122,1.09947,additional_hebrew_list,0.049518662977733,False,mare,v-fr,mare,v-fr,mare,v-fr,True,False,True,
04-1-096297,50.425,312.272,1.20191,additional_hebrew_list,0.1280288259185359,False,mare,v-fr,mare,v-fr,mare,v-fr,True,False,True,
04-2-000460,0.949362,319.667,2.92968,additional_hebrew_list,0.1049214840140345,False,mare,v-fr,mare,r-fr,mare,r-fr,True,False,False,
04-2-001570,3.10225,281.053,2.00795,additional_hebrew_list,0.1001873592503627,False,highland,v-fr,,,highland,v-fr,True,True,False,
04-2-006824,13.1702,276.767,1.20557,additional_hebrew_list,6.432090773632706,True,highland,v-fr,highland,v-fr,highland,v-fr,True,False,True,
05-1-003088,-0.689851,329.305,1.1055,additional_hebrew_list,0.0398852696939989,False,mare,v-fr,mare,r-fr,mare,r-fr,True,False,False,
05-1-003106,-0.218271,327.606,3.4548,additional_hebrew_list,0.0674529930516028,False,mare,r-fr,,,mare,r-fr,True,True,False,
05-1-011232,-3.77507,339.429,1.18987,additional_hebrew_list,0.0826886086959721,False,mare,v-fr,mare,r-fr,mare,r-fr,True,False,False,
05-1-016159,-6.27317,339.312,1.17297,additional_hebrew_list,0.0948686177272026,False,mare,v-fr,mare,r-fr,mare,r-fr,True,False,False,
05-1-016452,-5.56062,344.715,1.34356,additional_hebrew_list,0.0809673134741228,False,mare,v-fr,,,mare,v-fr,True,True,False,
05-1-021502,-8.094,334.378,1.27578,additional_hebrew_list,0.0437358110032446,False,mare,r-fr,,,mare,r-fr,True,True,False,
05-1-021751,-8.6021,344.233,2.1143,additional_hebrew_list,0.1571547679991626,False,mare,v-fr,mare,v-fr,mare,v-fr,True,False,True,
05-1-025577,-10.419,317.121,1.91722,additional_hebrew_list,0.1449092590340436,False,mare,v-fr,mare,r-fr,mare,r-fr,True,False,False,
05-1-025699,-10.5788,330.263,1.08725,additional_hebrew_list,1.1439488506481783,False,mare,v-fr,mare,v-fr,mare,v-fr,True,False,True,
05-1-025782,-10.9375,338.445,1.88321,additional_hebrew_list,0.1783420339401814,False,mare,v-fr,mare,r-fr,mare,r-fr,True,False,False,
05-1-028845,-12.4038,287.702,1.34003,additional_hebrew_list,0.0946736529070701,False,highland,v-fr,,,highland,v-fr,True,True,False,
05-1-028951,-12.7165,291.181,1.44708,additional_hebrew_list,0.0312789842212121,False,highland,v-fr,,,highland,v-fr,True,True,False,
05-1-029868,-12.9557,332.762,1.00566,additional_hebrew_list,0.1423851737105678,False,mare,v-fr,mare,r-fr,mare,r-fr,True,False,True,
05-1-030793,-13.7518,353.843,2.0922,additional_hebrew_list,0.1572366514289352,False,mare,v-fr,mare,r-fr,mare,r-fr,True,False,True,
05-1-031771,-14.0707,311.29,1.1066,additional_hebrew_list,0.1827129332048508,False,mare,v-fr,mare,r-fr,mare,r-fr,True,False,False,
05-1-033460,-14.6272,292.854,3.01773,additional_hebrew_list,0.0785722788185121,False,highland,v-fr,,,highland,v-fr,True,True,False,
05-1-034605,-15.2822,327.54,3.20906,additional_hebrew_list,0.021139094570087,False,mare,v-fr,mare,r-fr,mare,r-fr,True,False,False,
05-1-035020,-14.5891,349.527,2.0123,additional_hebrew_list,0.1043731787467738,False,mare,v-fr,,,mare,v-fr,True,True,False,
05-1-043448,-18.7792,291.239,1.02977,additional_hebrew_list,0.0556871127589796,False,highland,v-fr,highland,v-fr,highland,v-fr,True,False,True,
05-1-043528,-18.7986,293.974,1.72324,additional_hebrew_list,0.0451138141363448,False,highland,v-fr,highland,r-fr,highland,r-fr,True,False,False,
05-1-044364,-19.6852,315.985,1.0703,additional_hebrew_list,1.5491096761340917,False,mare,v-fr,mare,v-fr,mare,v-fr,True,False,True,
05-1-046451,-20.7342,324.004,2.44566,additional_hebrew_list,0.1020566703962768,False,mare,r-fr,mare,r-fr,mare,r-fr,True,True,False,
05-1-046461,-20.6152,317.682,1.9994,additional_hebrew_list,0.1506573914728464,False,mare,r-fr,,,mare,r-fr,True,True,False,
05-1-048037,-21.0988,287.265,1.56463,additional_hebrew_list,0.0644770382734469,False,highland,v-fr,,,highland,v-fr,True,True,False,
05-1-049157,-21.9053,328.241,1.74642,additional_hebrew_list,0.0235303908632276,False,mare,v-fr,,,mare,v-fr,True,True,False,
05-1-050871,-22.884,341.043,1.48462,additional_hebrew_list,0.0591839656647978,False,mare,v-fr,mare,v-fr,mare,v-fr,True,False,True,
05-1-055924,-24.704,322.102,3.08072,additional_hebrew_list,0.0090027237342997,False,mare,v-fr,,,mare,v-fr,True,True,False,
05-1-058019,-26.6044,312.346,1.94609,additional_hebrew_list,0.1323381225845742,False,mare,v-fr,,,mare,v-fr,True,True,False,
05-1-075904,-34.7605,314.584,2.34757,additional_hebrew_list,0.0448527773002194,False,highland,r-dr,,,highland,r-dr,True,True,False,
05-1-080439,-37.4766,311.061,3.12934,additional_hebrew_list,0.0935441505112927,False,highland,r-dr,,,highland,r-dr,True,True,False,
05-1-083051,-38.853,319.993,2.38323,additional_hebrew_list,0.187427601062237,False,highland,r-dr,,,highland,r-dr,True,True,False,
05-1-083111,-37.7595,316.939,1.8011,additional_hebrew_list,0.0195380985352318,False,highland,r-dr,,,highland,r-dr,True,True,False,
05-1-083433,-37.7459,297.731,1.70786,additional_hebrew_list,0.0683367405488233,False,highland,v-fr,,,highland,v-fr,True,True,False,
05-1-085339,-39.2346,317.931,1.83127,additional_hebrew_list,0.0684199611856759,False,highland,r-dr,,,highland,r-dr,True,True,False,
05-1-087606,-40.8201,323.35,2.91773,additional_hebrew_list,0.2164212693995093,False,highland,r-dr,,,highland,r-dr,True,True,False,
05-1-088271,-40.6395,299.353,1.93901,additional_hebrew_list,0.144276032985908,False,highland,v-fr,,,highland,v-fr,True,True,False,
05-1-094941,-43.7723,325.828,2.86458,additional_hebrew_list,0.2136736408051142,False,highland,r-dr,,,highland,r-dr,True,True,False,
05-1-104994,-48.7795,333.243,3.3256,additional_hebrew_list,0.0730871548986542,False,highland,r-dr,,,highland,r-dr,True,True,False,
05-1-109648,-50.4054,332.016,1.94801,additional_hebrew_list,0.0795524848516447,False,highland,r-dr,,,highland,r-dr,True,True,False,
05-1-110492,-50.769,358.359,1.23563,additional_hebrew_list,0.1844551847631767,False,highland,v-fr,,,highland,v-fr,True,True,False,
05-1-111506,-51.8144,332.148,1.58517,additional_hebrew_list,4.946796615007304,True,highland,r-dr,highland,r-dr,highland,r-dr,True,False,True,
05-1-115608,-53.3132,345.135,1.58722,additional_hebrew_list,0.1698131786275245,False,highland,r-dr,,,highland,r-dr,True,True,False,
05-1-120236,-54.2793,352.663,1.37893,additional_hebrew_list,5.962754777642414,True,highland,v-fr,highland,v-fr,highland,v-fr,True,False,True,
05-3-013157,-23.2676,320.898,2.6379,additional_hebrew_list,0.0612239366519906,False,mare,v-fr,mare,r-fr,mare,r-fr,True,False,False,
05-3-015538,-24.2717,323.224,1.93252,additional_hebrew_list,0.0699060743004291,False,mare,r-fr,mare,r-fr,mare,r-fr,True,True,False,
05-3-016142,-24.5579,317.057,1.13329,additional_hebrew_list,0.0441666254961435,False,mare,v-fr,mare,v-fr,mare,v-fr,True,False,True,
06-1-001911,0.0395236,50.2264,3.54128,additional_hebrew_list,0.1216291499294962,False,mare,r-fr,,,mare,r-fr,True,True,False,
06-1-002584,14.5689,56.7946,2.68765,additional_hebrew_list,0.1133285157128813,False,mare,v-fr,mare,r-fr,mare,r-fr,True,False,False,
06-1-003976,2.06296,56.2965,1.40239,additional_hebrew_list,0.0509228239643833,False,mare,v-fr,mare,r-fr,mare,r-fr,True,False,False,
06-1-004199,1.71193,44.1946,1.19672,additional_hebrew_list,5.046529076609865,True,mare,v-fr,mare,r-dr,mare,r-dr,True,False,False,
06-1-010237,5.50358,28.1545,1.15801,additional_hebrew_list,0.1275715210315737,False,mare,v-fr,mare,r-fr,mare,r-fr,True,False,False,
06-1-030993,13.0365,15.8682,1.15431,additional_hebrew_list,0.1060901990457318,False,highland,v-fr,,,highland,v-fr,True,True,False,
06-1-036389,14.6915,20.5249,1.38207,additional_hebrew_list,0.2459923296606349,False,mare,v-fr,,,mare,v-fr,True,True,False,
06-1-048255,22.2511,29.2655,1.30769,additional_hebrew_list,0.0565898006738493,False,mare,r-fr,,,mare,r-fr,True,True,False,
06-1-065065,30.5488,19.6981,3.14551,additional_hebrew_list,0.0413090913101425,False,mare,r-fr,,,mare,r-fr,True,True,False,
06-1-072926,34.3083,13.0653,1.0817,additional_hebrew_list,9.047492527883811,True,mare,v-fr,mare,v-fr,mare,v-fr,True,False,True,
06-1-077037,37.3726,3.99617,2.41738,additional_hebrew_list,0.1845406170846204,False,mare,v-fr,,,mare,v-fr,True,True,False,
06-1-093164,46.7442,49.8237,3.10493,additional_hebrew_list,0.1056301253937332,False,highland,v-fr,,,highland,v-fr,True,True,False,
06-3-003874,11.6594,59.2786,1.20446,additional_hebrew_list,0.100318978169358,False,mare,v-fr,mare,v-fr,mare,v-fr,True,False,True,
06-3-006404,12.9038,62.6968,1.03821,additional_hebrew_list,0.0263811565413696,False,mare,v-fr,,,mare,v-fr,True,True,False,
06-3-007317,13.1778,60.2782,4.1823,additional_hebrew_list,0.0505129416258823,False,mare,r-fr,,,mare,r-fr,True,True,False,
06-3-015731,15.5554,61.9912,3.25744,additional_hebrew_list,0.0690157339765479,False,mare,r-fr,,,mare,r-fr,True,True,False,
06-3-020688,17.1205,64.0818,2.92566,additional_hebrew_list,0.0491629962060725,False,mare,v-fr,mare,r-fr,mare,r-fr,True,False,False,
06-3-024346,18.2964,62.6837,1.11063,additional_hebrew_list,0.0226363373191913,False,mare,v-fr,mare,v-fr,mare,v-fr,True,False,True,
06-3-030948,20.0755,51.713,1.01306,additional_hebrew_list,7.182247424093677,True,mare,v-fr,mare,v-fr,mare,v-fr,True,False,True,
06-3-054470,19.7157,24.4293,1.29327,additional_hebrew_list,0.0672650850249781,False,mare,v-fr,mare,r-fr,mare,r-fr,True,False,False,
06-3-082434,21.6587,26.9822,1.96066,additional_hebrew_list,0.0080902893022452,False,mare,v-fr,,,mare,v-fr,True,True,False,
06-3-104926,27.3053,17.4794,1.02967,additional_hebrew_list,3.1611576244468047,True,mare,v-fr,mare,v-fr,mare,v-fr,True,False,True,
07-1-007694,-1.26624,55.7589,1.00068,additional_hebrew_list,0.1089783722313071,False,mare,v-fr,,,mare,v-fr,True,True,False,
07-1-017299,-3.83468,12.1195,1.19543,additional_hebrew_list,0.053204963597726,False,highland,v-fr,,,highland,v-fr,True,True,False,
07-1-018698,-5.1165,20.6709,1.88522,additional_hebrew_list,0.0483841293595779,False,highland,v-fr,,,highland,v-fr,True,True,False,
07-1-023469,-6.17952,49.5672,1.95607,additional_hebrew_list,0.1091911200327154,False,mare,v-fr,mare,r-fr,mare,r-fr,True,False,False,
07-1-030320,-8.26146,74.6612,1.23934,additional_hebrew_list,0.0501715451122992,False,highland,v-fr,highland,v-fr,highland,v-fr,True,False,True,
07-1-041303,-11.7287,19.4286,1.07531,additional_hebrew_list,3.111771769472916,True,highland,v-fr,highland,v-fr,highland,v-fr,True,False,True,
07-1-046842,-12.535,21.1378,1.05176,additional_hebrew_list,0.051614000907622,False,highland,v-fr,highland,r-fr,highland,r-fr,True,False,False,
07-1-047301,-12.8567,12.2289,3.32601,additional_hebrew_list,0.1469540327345058,False,highland,r-dr,highland,r-fr,highland,r-fr,True,False,False,
07-1-057143,-15.9717,4.39898,1.37982,additional_hebrew_list,0.1521380677743696,False,highland,v-fr,highland,r-fr,highland,r-fr,True,False,False,
07-1-061528,-16.1756,88.6227,1.74056,additional_hebrew_list,0.1170267550480255,False,highland,v-fr,highland,r-dr,highland,r-dr,True,False,True,
07-1-091466,-24.2207,27.6544,1.43359,additional_hebrew_list,0.3150880164591352,False,highland,v-fr,highland,v-fr,highland,v-fr,True,False,True,
07-1-099645,-25.7482,27.881,2.84858,additional_hebrew_list,0.0426025574165992,False,highland,v-fr,,,highland,v-fr,True,True,False,
07-1-100947,-27.1263,3.17827,2.02177,additional_hebrew_list,0.2080508291015733,False,highland,v-fr,,,highland,v-fr,True,True,False,
07-1-109054,-29.6377,22.0556,1.92424,additional_hebrew_list,0.1029267762511016,False,highland,r-dr,,,highland,r-dr,True,True,False,
07-1-121427,-32.3686,16.2177,1.12952,additional_hebrew_list,0.1678133924074591,False,highland,r-dr,,,highland,r-dr,True,True,False,
07-1-122838,-33.7232,17.2257,1.50831,additional_hebrew_list,0.1243166133234486,False,highland,v-fr,,,highland,v-fr,True,True,False,
07-1-139311,-36.5476,23.857,1.72336,additional_hebrew_list,0.0923961338096826,False,highland,r-dr,,,highland,r-dr,True,True,False,
07-1-139360,-37.5772,23.1512,3.10313,additional_hebrew_list,0.1165133691419131,False,highland,r-dr,highland,r-fr,highland,r-fr,True,False,False,
07-1-142184,-38.0982,32.3473,1.67989,additional_hebrew_list,0.0780197274544306,False,highland,r-dr,,,highland,r-dr,True,True,False,
07-1-142874,-38.074,43.3617,1.05537,additional_hebrew_list,0.1237913135941436,False,highland,r-dr,highland,r-fr,highland,r-fr,True,False,False,
07-1-170503,-44.0935,5.77119,1.03454,additional_hebrew_list,0.0361419973245485,False,highland,v-fr,highland,r-dr,highland,r-dr,True,False,False,
07-3-000350,-1.21401,10.6954,1.07001,additional_hebrew_list,3.316079203362488,True,highland,v-fr,highland,v-dr,highland,v-dr,True,False,False,
08-1-002348,0.158747,91.5584,1.5925,additional_hebrew_list,0.0913292803060306,False,highland,v-fr,highland,r-fr,highland,r-fr,True,False,False,
08-1-016609,4.57463,101.125,3.49292,additional_hebrew_list,0.1413886560949941,False,highland,v-fr,,,highland,v-fr,True,True,False,
08-1-072680,19.3821,166.631,1.95883,additional_hebrew_list,0.1358625526783667,False,highland,v-fr,highland,v-fr,highland,v-fr,True,False,True,
08-1-089580,22.8838,137.051,1.34119,additional_hebrew_list,0.1725024066761133,False,highland,v-fr,highland,r-dr,highland,r-dr,True,False,False,
08-1-109141,26.7829,123.115,2.48446,additional_hebrew_list,0.041107253355773,False,highland,v-fr,highland,r-fr,highland,r-fr,True,False,False,
08-1-119184,28.7351,137.177,2.04023,additional_hebrew_list,0.1363145937518152,False,highland,v-fr,highland,r-dr,highland,r-dr,True,False,False,
08-1-148382,37.1038,137.655,1.22313,additional_hebrew_list,0.138523279260397,False,highland,v-fr,highland,v-fr,highland,v-fr,True,False,True,
08-1-185236,46.1875,150.706,3.20774,additional_hebrew_list,0.0904620778933643,False,highland,v-fr,,,highland,v-fr,True,True,False,
09-1-008129,-1.30264,165.113,1.93042,additional_hebrew_list,0.1182518019049753,False,highland,v-fr,highland,r-fr,highland,r-fr,True,False,False,
09-1-040713,-8.85848,160.988,1.96257,additional_hebrew_list,0.0967881508348414,False,highland,v-fr,highland,r-fr,highland,r-fr,True,False,False,
09-1-042318,-10.2512,161.997,2.95872,additional_hebrew_list,0.015356457852154,False,highland,v-fr,highland,r-fr,highland,r-fr,True,False,False,
09-1-050031,-13.1416,153.695,1.52129,additional_hebrew_list,0.0823870709900786,False,highland,v-fr,highland,r-dr,highland,r-dr,True,False,False,
09-1-051016,-12.857,137.2,1.0603,additional_hebrew_list,0.1277413705702673,False,highland,v-fr,highland,r-fr,highland,r-fr,True,False,False,
09-1-085963,-22.8794,125.123,2.12071,additional_hebrew_list,0.3325007817776717,False,highland,v-fr,highland,r-fr,highland,r-fr,True,False,True,
09-1-091333,-23.138,112.228,1.07285,additional_hebrew_list,0.0873665547938566,False,highland,v-fr,,,highland,v-fr,True,True,False,
09-1-094653,-24.3215,119.763,1.82142,additional_hebrew_list,0.1179009689707509,False,highland,v-fr,highland,r-dr,highland,r-dr,True,False,False,
09-1-095290,-24.402,136.631,1.1767,additional_hebrew_list,0.0142951249307366,False,highland,v-fr,,,highland,v-fr,True,True,False,
09-1-095418,-24.5909,138.486,1.22518,additional_hebrew_list,0.0717352686654668,False,highland,v-fr,,,highland,v-fr,True,True,False,
09-1-099813,-25.8536,131.012,1.12665,additional_hebrew_list,9.276100357176196,True,highland,v-fr,highland,r-fr,highland,r-fr,True,False,False,
09-1-135897,-35.284,167.021,2.35871,additional_hebrew_list,0.1420251142552562,False,highland,v-fr,,,highland,v-fr,True,True,False,
09-1-170985,-48.8996,121.707,3.73832,additional_hebrew_list,0.1499985623626644,False,highland,v-fr,,,highland,v-fr,True,True,False,
01-1-022087,68.4268,146.281,1.71684,manual_labels,0.0,False,highland,v-dr,,,highland,v-dr,True,True,False,
01-1-022093,68.4485,146.135,1.28765,manual_labels,0.0,False,highland,v-dr,,,highland,v-dr,True,True,False,
01-1-026369,71.0502,152.766,1.58486,manual_labels,0.0,False,highland,r-dr,,,highland,r-dr,True,True,False,
01-1-026372,71.0204,152.016,1.58247,manual_labels,0.0,False,highland,v-dr,,,highland,v-dr,True,True,False,
01-1-026376,70.9058,151.262,1.37359,manual_labels,0.0,False,highland,r-dr,,,highland,r-dr,True,True,False,
01-1-026378,70.9052,151.78,1.13217,manual_labels,0.0,False,highland,v-dr,,,highland,v-dr,True,True,False,
01-1-026382,71.0324,152.623,1.34058,manual_labels,0.0,False,highland,r-dr,,,highland,r-dr,True,True,False,
01-1-026383,71.0914,152.858,1.40751,manual_labels,0.0,False,highland,v-dr,,,highland,v-dr,True,True,False,
01-1-026384,71.042,152.914,1.63574,manual_labels,0.0,False,highland,r-dr,,,highland,r-dr,True,True,False,
01-1-026385,71.191,153.061,1.53962,manual_labels,0.0,False,highland,r-fr,,,highland,r-fr,True,True,False,
01-1-026386,71.1619,152.827,1.03316,manual_labels,0.0,False,highland,r-dr,,,highland,r-dr,True,True,False,
01-1-026388,71.1336,152.801,1.14985,manual_labels,0.0,False,highland,v-dr,,,highland,v-dr,True,True,False,
01-1-026394,71.1326,152.66,1.48037,manual_labels,0.0,False,highland,v-dr,,,highland,v-dr,True,True,False,
01-1-026402,70.7228,150.946,1.85969,manual_labels,0.0,False,highland,v-dr,,,highland,v-dr,True,True,False,
